

原料和包装名称,重量（kg）,起点,终点
有机糯米,40652,大连,宁波海曙区
有机大米,550,北京,宁波海曙区
碳中和有机砂糖,4896.8,北京,宁波海曙区
有机燕麦米,3150,大连,宁波海曙区
有机酱油,474,北京,宁波海曙区
有机橄榄油,541.8,北京,宁波海曙区
有机黑米,1328,大连,宁波海曙区
有机红小豆,1824,大连,宁波海曙区
碳中和有机牛肉,1000,北京,宁波海曙区
有机板栗仁,320,河北承德,宁波海曙区
有机麦芽糖浆,816,北京,宁波海曙区
咖啡粉 ,352,上海,宁波海曙区
桂花,50.4,北京,宁波海曙区
火腿,124,广西阳朔,宁波海曙区
碳中和巧克力,480,上海,宁波海曙区
盐,48,北京,宁波海曙区
128米粽腰封,300,北京,宁波海曙区
198米粽腰封,400,北京,宁波海曙区
米粽册子,1000,北京,宁波海曙区
198手提袋,1400,北京,宁波海曙区
米粽内袋,17200,河北故城,宁波海曙区
米粽内袋标签,800,河北石家庄,宁波海曙区
米粽纸盒,6220,宁波,宁波海曙区
纸盒款手提袋,1400,北京,宁波海曙区
纸盒款配料表,400,河北,宁波海曙区
卡片,240,河北,宁波海曙区
